CustomerID,Recency,Frequency,Monetary,K-means Clustering,Hierarchical Clustering
12347.0,2,182,4310.000000000001,0,1
12348.0,75,27,1437.24,0,1
12349.0,19,72,1457.5500000000002,0,1
12350.0,310,16,294.40000000000003,1,5
12352.0,36,77,1385.7400000000002,0,1
12353.0,204,4,89.0,1,4
12354.0,232,58,1079.3999999999999,1,4
12355.0,214,13,459.4,1,4
12356.0,23,58,2487.43,0,1
12357.0,33,131,6207.67,0,1
12358.0,2,17,928.06,0,1
12359.0,58,248,6372.58,4,2
12360.0,52,126,2302.0600000000004,0,1
12361.0,287,9,174.89999999999998,1,5
12362.0,3,256,4737.2300000000005,4,2
12363.0,110,23,552.0,0,1
12364.0,8,81,1208.1,0,1
12365.0,291,21,320.68999999999994,1,5
12367.0,4,10,150.89999999999998,0,1
12370.0,51,166,3425.6899999999996,0,1
12371.0,60,62,1527.96,0,1
12372.0,72,49,1196.04,0,1
12373.0,311,13,324.6,1,5
12374.0,25,32,622.93,0,1
12375.0,11,15,377.50000000000006,0,1
12377.0,315,76,1548.12,1,5
12378.0,130,219,4008.62,0,1
12379.0,82,38,777.2399999999998,0,1
12380.0,22,100,2427.81,0,1
12381.0,5,82,1474.81,0,1
12383.0,185,94,1628.5600000000002,1,4
12384.0,29,25,425.27,0,1
12386.0,338,10,401.9,1,5
12388.0,16,100,2780.6600000000003,0,1
12390.0,80,31,504.8400000000001,0,1
12391.0,22,100,460.89,0,1
12393.0,72,64,1582.6000000000001,0,1
12394.0,64,25,1080.48,0,1
12395.0,19,144,2682.63,0,1
12397.0,36,124,2214.9000000000005,0,1
12398.0,46,84,1435.6599999999999,0,1
12399.0,119,55,1033.65,0,1
12401.0,303,4,69.3,1,5
12402.0,323,10,195.6,1,5
12403.0,50,4,391.7,0,1
12405.0,149,53,1390.3900000000003,1,4
12406.0,22,105,3415.3,0,1
12407.0,50,72,1507.1200000000001,0,1
12408.0,33,101,2618.5499999999997,0,1
12409.0,79,109,11072.67,0,2
12410.0,309,25,533.3299999999999,1,5
12412.0,75,58,1142.88,0,1
12413.0,67,36,686.1,0,1
12414.0,217,15,442.41,1,4
12415.0,24,711,122212.53,5,0
12417.0,3,183,3226.1000000000004,0,1
12418.0,113,34,668.58,0,1
12420.0,64,29,600.3900000000001,0,1
12421.0,16,41,639.0400000000001,0,1
12422.0,96,38,683.5599999999998,0,1
12423.0,1,117,1634.31,0,1
12424.0,163,30,1760.9599999999996,1,4
12425.0,78,36,777.1999999999999,0,1
12426.0,195,29,510.72999999999996,1,4
12427.0,22,28,699.8,0,1
12428.0,26,287,6405.26,4,2
12429.0,9,94,3388.4,0,1
12430.0,43,10,216.4,0,1
12431.0,36,233,6382.45,4,2
12432.0,43,107,4359.319999999999,0,1
12433.0,1,420,13375.87,4,2
